,long,lat,group,order,region,subregion,num_plants
6965,-121.478508,37.48289871,157,6965,california,alameda,29
6966,-121.5128937,37.48289871,157,6966,california,alameda,29
6967,-121.8853149,37.48289871,157,6967,california,alameda,29
6968,-121.8967743,37.4657135,157,6968,california,alameda,29
6969,-121.9254227,37.45998001,157,6969,california,alameda,29
6970,-121.9483414,37.47716904,157,6970,california,alameda,29
6971,-121.9540634,37.47716904,157,6971,california,alameda,29
6972,-121.9540634,37.49435806,157,6972,california,alameda,29
6973,-121.9999084,37.50581741,157,6973,california,alameda,29
6974,-122.0457382,37.5287323,157,6974,california,alameda,29
6975,-122.0743866,37.54592514,157,6975,california,alameda,29
6976,-122.091568,37.59175873,157,6976,california,alameda,29
6977,-122.1144943,37.6490593,157,6977,california,alameda,29
6978,-122.1431427,37.70062256,157,6978,california,alameda,29
6979,-122.1889801,37.73500061,157,6979,california,alameda,29
6980,-122.2405548,37.76364899,157,6980,california,alameda,29
6981,-122.2749176,37.79229736,157,6981,california,alameda,29
6982,-122.2691956,37.83240509,157,6982,california,alameda,29
6983,-122.2749176,37.84959412,157,6983,california,alameda,29
6984,-122.2749176,37.87251282,157,6984,california,alameda,29
6985,-122.2749176,37.90115738,157,6985,california,alameda,29
6986,-122.2462769,37.88969803,157,6986,california,alameda,29
6987,-122.2004471,37.86677933,157,6987,california,alameda,29
6988,-122.1832428,37.82094193,157,6988,california,alameda,29
6989,-122.1316757,37.82094193,157,6989,california,alameda,29
6990,-122.1202316,37.79229736,157,6990,california,alameda,29
6991,-122.0457382,37.79229736,157,6991,california,alameda,29
6992,-121.9884491,37.76364899,157,6992,california,alameda,29
6993,-121.9827118,37.70635223,157,6993,california,alameda,29
6994,-121.5931015,37.80948639,157,6994,california,alameda,29
6995,-121.5529938,37.81521606,157,6995,california,alameda,29
6996,-121.5529938,37.78083801,157,6996,california,alameda,29
6997,-121.5529938,37.54019547,157,6997,california,alameda,29
6998,-121.5014267,37.5287323,157,6998,california,alameda,29
6999,-121.4899673,37.50581741,157,6999,california,alameda,29
7000,-121.478508,37.48289871,157,7000,california,alameda,29
7002,-120.0747681,38.70902634,158,7002,california,alpine,0
7003,-120.0518417,38.7204895,158,7003,california,alpine,0
7004,-119.9544449,38.77778244,158,7004,california,alpine,0
7005,-119.9487076,38.80643082,158,7005,california,alpine,0
7006,-119.9143372,38.82934952,158,7006,california,alpine,0
7007,-119.9085999,38.85226822,158,7007,california,alpine,0
7008,-119.8856964,38.85799789,158,7008,california,alpine,0
7009,-119.8742294,38.86945724,158,7009,california,alpine,0
7010,-119.8856964,38.87518692,158,7010,california,alpine,0
7011,-119.8684921,38.90956116,158,7011,california,alpine,0
7012,-119.5705643,38.6975708,158,7012,california,alpine,0
7013,-119.599205,38.66892242,158,7013,california,alpine,0
7014,-119.610672,38.64027023,158,7014,california,alpine,0
7015,-119.6049423,38.58297729,158,7015,california,alpine,0
7016,-119.5476379,38.53713989,158,7016,california,alpine,0
7017,-119.5361786,38.48557663,158,7017,california,alpine,0
7018,-119.5590973,38.43973923,158,7018,california,alpine,0
7019,-119.5476379,38.41682053,158,7019,california,alpine,0
7020,-119.5820236,38.39390182,158,7020,california,alpine,0
7021,-119.593483,38.41109085,158,7021,california,alpine,0
7022,-119.616394,38.3996315,158,7022,california,alpine,0
7023,-119.610672,38.35952377,158,7023,california,alpine,0
7024,-119.6335907,38.3537941,158,7024,california,alpine,0
7025,-119.64505,38.33087921,158,7025,california,alpine,0
7026,-119.6679611,38.34233475,158,7026,california,alpine,0
7027,-119.7023468,38.35952377,158,7027,california,alpine,0
7028,-119.7195282,38.41109085,158,7028,california,alpine,0
7029,-119.7596359,38.41682053,158,7029,california,alpine,0
7030,-119.8226624,38.3996315,158,7030,california,alpine,0
7031,-119.8627701,38.35952377,158,7031,california,alpine,0
7032,-120.023201,38.42827988,158,7032,california,alpine,0
7033,-120.0518417,38.4454689,158,7033,california,alpine,0
7034,-120.0747681,38.45692444,158,7034,california,alpine,0
7035,-120.0747681,38.49703217,158,7035,california,alpine,0
7036,-120.0690308,38.51995087,158,7036,california,alpine,0
7037,-120.0747681,38.70902634,158,7037,california,alpine,0
7039,-120.0747681,38.70902634,159,7039,california,amador,7
7040,-120.0690308,38.51995087,159,7040,california,amador,7
